,avg_block_size,avg_trx_cost,confirmation_time,difficulty,hash_rate,market_cap,price_usd,total_block_size,total_miner_revenue,total_supply,total_trx_fees,trade_volume,transactions,trx_cost_percent,trx_per_block,trx_volume,unique_addresses
2016-09-06,0.866949558824,4.6569127002499995,8.816666666669999,220755908330.0,1492441.65866,9735788868.75,611.097475,81713.093301,1044942.9,15857625.0,60.65357465,14155539.5927,232118.0,0.767942091795,1706.75,229269.054719,416403.0
2016-09-07,0.809331835526,4.84776657731,8.15,220755908330.0,1668023.0302600001,9819424903.75,614.4637625,81836.11174,1177623.3,15859525.0,63.76239601,16922951.2375,250809.0,0.847725862941,1650.05921053,231650.641069,400704.0
2016-09-08,0.8141071875,5.16292264106,7.966666666669999,220755908330.0,1580232.34446,9996600081.25,627.777875,81953.343175,1134450.0,15861325.0,59.60240707,21304907.4826,227006.0,0.759002744315,1576.43055556,245006.018885,399896.0
2016-09-09,0.81432851049,5.2260680193999995,9.36666666667,220755908330.0,1569258.50873,9943784235.0,625.0709,82069.792152,1120494.375,15863100.0,64.10461147,16550749.9521,222094.0,0.778261733343,1553.1048951,237915.41227600002,379259.0
2016-09-10,0.646603348387,6.4654079666,7.216666666669999,220755908330.0,1700944.5374399999,9971334719.12,625.7635,82170.015671,1217738.125,15865037.5,51.15995466,13826608.2876,193320.0,1.26651068491,1247.22580645,157018.805948,355122.0
2016-09-11,0.591717,7.09546775645,7.43333333333,220755908330.0,1799709.0589700001,9682890146.88,608.15855,82267.05725900001,1251012.5,15867087.5,47.43305867,19748109.5647,180391.0,1.28100288491,1099.94512195,163733.671749,373779.0
2016-09-12,0.690828184049,6.130812918559999,6.833333333330001,224586991480.0,1829872.71366,9696828831.25,609.6705,82379.662253,1245625.425,15869125.0,55.92604475,24913919.8681,208649.0,0.973995707147,1280.05521472,214931.752716,401012.0
2016-09-13,0.781709457831,5.45516799994,7.86666666667,225832872179.0,1863551.3525599998,9743639430.0,610.928125,82509.426023,1275111.84,15871187.5,68.38732914,32818905.1129,241215.0,0.9017093542560001,1453.10240964,237702.68313400002,404798.0
2016-09-14,0.764206871795,5.32955572574,7.333333333330001,225832872179.0,1751289.22289,9744519111.25,612.0847375,82628.642295,1197718.9,15873137.5,62.36523412,15168677.6801,231800.0,0.9185695903910001,1485.8974359000001,219075.96933000002,388645.0
2016-09-15,0.752978811688,5.206461442749999,8.1,225832872179.0,1728836.79696,9723634531.88,610.386125,82744.601032,1179081.75,15875062.5,59.69619981,11891587.3953,233488.0,0.985814286257,1516.15584416,201325.56684100002,397310.0
